Title,Stars,Ratings,Directors,Genre,IMDb Rating,Release Date,Runtime
Pitch Perfect,"Anna Kendrick, Brittany Snow, Rebel Wilson",PG-13,Jason Moore,"Comedy, Music, Romance",7.2,2012-10-05,112
Frozen,"Kristen Bell, Idina Menzel, Jonathan Groff",PG,"Chris Buck, Jennifer Lee","Animation, Adventure, Comedy",7.5,2013-11-27,102
The Notebook,"Gena Rowlands, James Garner, Rachel McAdams",PG-13,Nick Cassavetes,"Drama, Romance",7.8,2004-06-25,123
Parasite,"Kang-ho Song, Sun-kyun Lee, Yeo-jeong Cho",R,Bong Joon Ho,"Comedy, Drama, Horror",8.5,2019-11-08,132
The Godfather,"Marlon Brando, Al Pacino, James Caan",R,Francis Ford Coppola,"Crime, Drama",9.2,1972-03-24,175
The Ring,"Naomi Watts, Martin Henderson, Brian Cox",PG-13,Gore Verbinski,"Horror, Mystery",7.1,2002-10-18,115
Scary Movie,"Neve Campbell, Courteney Cox, David Arquette",R,Wes Craven,"Horror, Mystery",7.3,1996-12-20,111
The Avengers,"Robert Downey Jr., Chris Evans, Scarlett Johansson",PG-13,Joss Whedon,"Action, Adventure, Sci-Fi",8.0,2012-05-04,143
Titanic,"Leonardo DiCaprio, Kate Winslet, Billy Zane",PG-13,James Cameron,"Drama, Romance",7.9,1997-12-19,194
Brave,"Kelly Macdonald, Billy Connolly, Emma Thompson",PG,"Mark Andrews, Brenda Chapman, Steve Purcell","Animation, Adventure, Comedy",7.1,2012-06-22,93
